ID,team_id,country,team_code,confederation_name,region_name,tournament_id,tournament_name,year,matches_played,total_goals,stage_reached
WC-1938_ITA,T-41,Italy,ITA,Union of European Football Associations,Europe,WC-1938,1938 FIFA Men's World Cup,1938,4,11,final
WC-1938_NLD,T-48,Netherlands,NLD,Union of European Football Associations,Europe,WC-1938,1938 FIFA Men's World Cup,1938,1,0,round of 16
WC-1938_NOR,T-53,Norway,NOR,Union of European Football Associations,Europe,WC-1938,1938 FIFA Men's World Cup,1938,1,1,round of 16
WC-1938_POL,T-57,Poland,POL,Union of European Football Associations,Europe,WC-1938,1938 FIFA Men's World Cup,1938,1,5,round of 16
WC-1938_ROU,T-61,Romania,ROU,Union of European Football Associations,Europe,WC-1938,1938 FIFA Men's World Cup,1938,2,4,round of 16
WC-1938_SWE,T-74,Sweden,SWE,Union of European Football Associations,Europe,WC-1938,1938 FIFA Men's World Cup,1938,3,11,third-place match
WC-1938_CHE,T-75,Switzerland,CHE,Union of European Football Associations,Europe,WC-1938,1938 FIFA Men's World Cup,1938,3,5,quarter-finals
WC-1950_BOL,T-07,Bolivia,BOL,South American Football Confederation,South America,WC-1950,1950 FIFA Men's World Cup,1950,1,0,group stage
WC-1950_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1950,1950 FIFA Men's World Cup,1950,6,22,final round
WC-1950_CHL,T-13,Chile,CHL,South American Football Confederation,South America,WC-1950,1950 FIFA Men's World Cup,1950,3,5,group stage
WC-1950_ENG,T-28,England,ENG,Union of European Football Associations,Europe,WC-1950,1950 FIFA Men's World Cup,1950,3,2,group stage
WC-1950_ITA,T-41,Italy,ITA,Union of European Football Associations,Europe,WC-1950,1950 FIFA Men's World Cup,1950,2,4,group stage
WC-1950_MEX,T-46,Mexico,MEX,"Confederation of North, Central American and Caribbean Association Football",North America,WC-1950,1950 FIFA Men's World Cup,1950,3,2,group stage
WC-1950_PRY,T-55,Paraguay,PRY,South American Football Confederation,South America,WC-1950,1950 FIFA Men's World Cup,1950,2,2,group stage
WC-1950_ESP,T-73,Spain,ESP,Union of European Football Associations,Europe,WC-1950,1950 FIFA Men's World Cup,1950,6,10,final round
WC-1950_SWE,T-74,Sweden,SWE,Union of European Football Associations,Europe,WC-1950,1950 FIFA Men's World Cup,1950,5,11,final round
WC-1950_CHE,T-75,Switzerland,CHE,Union of European Football Associations,Europe,WC-1950,1950 FIFA Men's World Cup,1950,3,4,group stage
WC-1950_USA,T-83,United States,USA,"Confederation of North, Central American and Caribbean Association Football",North America,WC-1950,1950 FIFA Men's World Cup,1950,3,4,group stage
WC-1950_URY,T-84,Uruguay,URY,South American Football Confederation,South America,WC-1950,1950 FIFA Men's World Cup,1950,4,15,final round
WC-1950_YUG,T-87,Yugoslavia,YUG,Union of European Football Associations,Europe,WC-1950,1950 FIFA Men's World Cup,1950,3,7,group stage
WC-1954_AUT,T-05,Austria,AUT,Union of European Football Associations,Europe,WC-1954,1954 FIFA Men's World Cup,1954,5,17,third-place match
WC-1954_BEL,T-06,Belgium,BEL,Union of European Football Associations,Europe,WC-1954,1954 FIFA Men's World Cup,1954,2,5,group stage
WC-1954_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1954,1954 FIFA Men's World Cup,1954,3,8,quarter-finals
WC-1954_CSK,T-21,Czechoslovakia,CSK,Union of European Football Associations,Europe,WC-1954,1954 FIFA Men's World Cup,1954,2,0,group stage
WC-1954_ENG,T-28,England,ENG,Union of European Football Associations,Europe,WC-1954,1954 FIFA Men's World Cup,1954,3,8,quarter-finals
WC-1954_FRA,T-30,France,FRA,Union of European Football Associations,Europe,WC-1954,1954 FIFA Men's World Cup,1954,2,3,group stage
WC-1954_HUN,T-36,Hungary,HUN,Union of European Football Associations,Europe,WC-1954,1954 FIFA Men's World Cup,1954,5,27,final
WC-1954_ITA,T-41,Italy,ITA,Union of European Football Associations,Europe,WC-1954,1954 FIFA Men's World Cup,1954,3,6,group stage
WC-1954_MEX,T-46,Mexico,MEX,"Confederation of North, Central American and Caribbean Association Football",North America,WC-1954,1954 FIFA Men's World Cup,1954,2,2,group stage
WC-1954_SCO,T-64,Scotland,SCO,Union of European Football Associations,Europe,WC-1954,1954 FIFA Men's World Cup,1954,2,0,group stage
WC-1954_KOR,T-71,South Korea,KOR,Asian Football Confederation,East Asia,WC-1954,1954 FIFA Men's World Cup,1954,2,0,group stage
WC-1954_CHE,T-75,Switzerland,CHE,Union of European Football Associations,Europe,WC-1954,1954 FIFA Men's World Cup,1954,4,11,quarter-finals
WC-1954_TUR,T-80,Turkey,TUR,Union of European Football Associations,"Europe, Asia",WC-1954,1954 FIFA Men's World Cup,1954,3,10,group stage
WC-1954_URY,T-84,Uruguay,URY,South American Football Confederation,South America,WC-1954,1954 FIFA Men's World Cup,1954,5,16,third-place match
WC-1954_DEU,T-86,West Germany,DEU,Union of European Football Associations,Europe,WC-1954,1954 FIFA Men's World Cup,1954,6,25,final
WC-1954_YUG,T-87,Yugoslavia,YUG,Union of European Football Associations,Europe,WC-1954,1954 FIFA Men's World Cup,1954,3,2,quarter-finals
WC-1958_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-1958,1958 FIFA Men's World Cup,1958,3,5,group stage
WC-1958_AUT,T-05,Austria,AUT,Union of European Football Associations,Europe,WC-1958,1958 FIFA Men's World Cup,1958,3,2,group stage
WC-1958_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1958,1958 FIFA Men's World Cup,1958,6,16,final
WC-1958_CSK,T-21,Czechoslovakia,CSK,Union of European Football Associations,Europe,WC-1958,1958 FIFA Men's World Cup,1958,4,9,group stage
WC-1958_ENG,T-28,England,ENG,Union of European Football Associations,Europe,WC-1958,1958 FIFA Men's World Cup,1958,4,4,group stage
WC-1958_FRA,T-30,France,FRA,Union of European Football Associations,Europe,WC-1958,1958 FIFA Men's World Cup,1958,6,23,third-place match
WC-1958_HUN,T-36,Hungary,HUN,Union of European Football Associations,Europe,WC-1958,1958 FIFA Men's World Cup,1958,4,7,group stage
WC-1958_MEX,T-46,Mexico,MEX,"Confederation of North, Central American and Caribbean Association Football",North America,WC-1958,1958 FIFA Men's World Cup,1958,3,1,group stage
WC-1958_NIR,T-52,Northern Ireland,NIR,Union of European Football Associations,Europe,WC-1958,1958 FIFA Men's World Cup,1958,5,6,quarter-finals
WC-1958_PRY,T-55,Paraguay,PRY,South American Football Confederation,South America,WC-1958,1958 FIFA Men's World Cup,1958,3,9,group stage
WC-1958_SCO,T-64,Scotland,SCO,Union of European Football Associations,Europe,WC-1958,1958 FIFA Men's World Cup,1958,3,4,group stage
WC-1958_SUN,T-72,Soviet Union,SUN,Union of European Football Associations,"Europe, Asia",WC-1958,1958 FIFA Men's World Cup,1958,5,5,quarter-finals
WC-1958_SWE,T-74,Sweden,SWE,Union of European Football Associations,Europe,WC-1958,1958 FIFA Men's World Cup,1958,6,12,final
WC-1958_WAL,T-85,Wales,WAL,Union of European Football Associations,Europe,WC-1958,1958 FIFA Men's World Cup,1958,5,4,quarter-finals
WC-1958_DEU,T-86,West Germany,DEU,Union of European Football Associations,Europe,WC-1958,1958 FIFA Men's World Cup,1958,6,12,third-place match
WC-1958_YUG,T-87,Yugoslavia,YUG,Union of European Football Associations,Europe,WC-1958,1958 FIFA Men's World Cup,1958,4,7,quarter-finals
WC-1962_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-1962,1962 FIFA Men's World Cup,1962,3,2,group stage
WC-1962_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1962,1962 FIFA Men's World Cup,1962,6,14,final
WC-1962_BGR,T-10,Bulgaria,BGR,Union of European Football Associations,Europe,WC-1962,1962 FIFA Men's World Cup,1962,3,1,group stage
WC-1962_CHL,T-13,Chile,CHL,South American Football Confederation,South America,WC-1962,1962 FIFA Men's World Cup,1962,6,10,third-place match
WC-1962_COL,T-16,Colombia,COL,South American Football Confederation,South America,WC-1962,1962 FIFA Men's World Cup,1962,3,5,group stage
WC-1962_CSK,T-21,Czechoslovakia,CSK,Union of European Football Associations,Europe,WC-1962,1962 FIFA Men's World Cup,1962,6,7,final
WC-1962_ENG,T-28,England,ENG,Union of European Football Associations,Europe,WC-1962,1962 FIFA Men's World Cup,1962,4,5,quarter-finals
WC-1962_HUN,T-36,Hungary,HUN,Union of European Football Associations,Europe,WC-1962,1962 FIFA Men's World Cup,1962,4,8,quarter-finals
WC-1962_ITA,T-41,Italy,ITA,Union of European Football Associations,Europe,WC-1962,1962 FIFA Men's World Cup,1962,3,3,group stage
WC-1962_MEX,T-46,Mexico,MEX,"Confederation of North, Central American and Caribbean Association Football",North America,WC-1962,1962 FIFA Men's World Cup,1962,3,3,group stage
WC-1962_SUN,T-72,Soviet Union,SUN,Union of European Football Associations,"Europe, Asia",WC-1962,1962 FIFA Men's World Cup,1962,4,9,quarter-finals
WC-1962_ESP,T-73,Spain,ESP,Union of European Football Associations,Europe,WC-1962,1962 FIFA Men's World Cup,1962,3,2,group stage
WC-1962_CHE,T-75,Switzerland,CHE,Union of European Football Associations,Europe,WC-1962,1962 FIFA Men's World Cup,1962,3,2,group stage
WC-1962_URY,T-84,Uruguay,URY,South American Football Confederation,South America,WC-1962,1962 FIFA Men's World Cup,1962,3,4,group stage
WC-1962_DEU,T-86,West Germany,DEU,Union of European Football Associations,Europe,WC-1962,1962 FIFA Men's World Cup,1962,4,4,quarter-finals
WC-1962_YUG,T-87,Yugoslavia,YUG,Union of European Football Associations,Europe,WC-1962,1962 FIFA Men's World Cup,1962,6,10,third-place match
WC-1966_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-1966,1966 FIFA Men's World Cup,1966,4,4,quarter-finals
WC-1966_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1966,1966 FIFA Men's World Cup,1966,3,4,group stage
WC-1966_BGR,T-10,Bulgaria,BGR,Union of European Football Associations,Europe,WC-1966,1966 FIFA Men's World Cup,1966,3,1,group stage
WC-1966_CHL,T-13,Chile,CHL,South American Football Confederation,South America,WC-1966,1966 FIFA Men's World Cup,1966,3,2,group stage
WC-1966_ENG,T-28,England,ENG,Union of European Football Associations,Europe,WC-1966,1966 FIFA Men's World Cup,1966,6,11,final
WC-1966_FRA,T-30,France,FRA,Union of European Football Associations,Europe,WC-1966,1966 FIFA Men's World Cup,1966,3,2,group stage
WC-1966_HUN,T-36,Hungary,HUN,Union of European Football Associations,Europe,WC-1966,1966 FIFA Men's World Cup,1966,4,8,quarter-finals
WC-1966_ITA,T-41,Italy,ITA,Union of European Football Associations,Europe,WC-1966,1966 FIFA Men's World Cup,1966,3,2,group stage
WC-1966_MEX,T-46,Mexico,MEX,"Confederation of North, Central American and Caribbean Association Football",North America,WC-1966,1966 FIFA Men's World Cup,1966,3,1,group stage
WC-1966_PRK,T-51,North Korea,PRK,Asian Football Confederation,East Asia,WC-1966,1966 FIFA Men's World Cup,1966,4,5,quarter-finals
WC-1966_PRT,T-58,Portugal,PRT,Union of European Football Associations,Europe,WC-1966,1966 FIFA Men's World Cup,1966,6,17,third-place match
WC-1966_SUN,T-72,Soviet Union,SUN,Union of European Football Associations,"Europe, Asia",WC-1966,1966 FIFA Men's World Cup,1966,6,10,third-place match
WC-1966_ESP,T-73,Spain,ESP,Union of European Football Associations,Europe,WC-1966,1966 FIFA Men's World Cup,1966,3,4,group stage
WC-1966_CHE,T-75,Switzerland,CHE,Union of European Football Associations,Europe,WC-1966,1966 FIFA Men's World Cup,1966,3,1,group stage
WC-1966_URY,T-84,Uruguay,URY,South American Football Confederation,South America,WC-1966,1966 FIFA Men's World Cup,1966,4,2,quarter-finals
WC-1966_DEU,T-86,West Germany,DEU,Union of European Football Associations,Europe,WC-1966,1966 FIFA Men's World Cup,1966,6,15,final
WC-1970_BEL,T-06,Belgium,BEL,Union of European Football Associations,Europe,WC-1970,1970 FIFA Men's World Cup,1970,3,4,group stage
WC-1970_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1970,1970 FIFA Men's World Cup,1970,6,19,final
WC-1970_BGR,T-10,Bulgaria,BGR,Union of European Football Associations,Europe,WC-1970,1970 FIFA Men's World Cup,1970,3,5,group stage
WC-1970_CSK,T-21,Czechoslovakia,CSK,Union of European Football Associations,Europe,WC-1970,1970 FIFA Men's World Cup,1970,3,2,group stage
WC-1970_SLV,T-27,El Salvador,SLV,"Confederation of North, Central American and Caribbean Association Football",Central America,WC-1970,1970 FIFA Men's World Cup,1970,3,0,group stage
WC-1970_ENG,T-28,England,ENG,Union of European Football Associations,Europe,WC-1970,1970 FIFA Men's World Cup,1970,4,4,quarter-finals
WC-1970_ISR,T-40,Israel,ISR,Union of European Football Associations,Middle East,WC-1970,1970 FIFA Men's World Cup,1970,3,1,group stage
WC-1970_ITA,T-41,Italy,ITA,Union of European Football Associations,Europe,WC-1970,1970 FIFA Men's World Cup,1970,6,10,final
WC-1970_MEX,T-46,Mexico,MEX,"Confederation of North, Central American and Caribbean Association Football",North America,WC-1970,1970 FIFA Men's World Cup,1970,4,6,quarter-finals
WC-1970_MAR,T-47,Morocco,MAR,Confederation of African Football,Africa,WC-1970,1970 FIFA Men's World Cup,1970,3,2,group stage
WC-1970_PER,T-56,Peru,PER,South American Football Confederation,South America,WC-1970,1970 FIFA Men's World Cup,1970,4,9,quarter-finals
WC-1970_ROU,T-61,Romania,ROU,Union of European Football Associations,Europe,WC-1970,1970 FIFA Men's World Cup,1970,3,4,group stage
WC-1970_SUN,T-72,Soviet Union,SUN,Union of European Football Associations,"Europe, Asia",WC-1970,1970 FIFA Men's World Cup,1970,4,6,quarter-finals
WC-1970_SWE,T-74,Sweden,SWE,Union of European Football Associations,Europe,WC-1970,1970 FIFA Men's World Cup,1970,3,2,group stage
WC-1970_URY,T-84,Uruguay,URY,South American Football Confederation,South America,WC-1970,1970 FIFA Men's World Cup,1970,6,4,third-place match
WC-1970_DEU,T-86,West Germany,DEU,Union of European Football Associations,Europe,WC-1970,1970 FIFA Men's World Cup,1970,6,17,third-place match
WC-1974_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-1974,1974 FIFA Men's World Cup,1974,6,9,second group stage
WC-1974_AUS,T-04,Australia,AUS,Asian Football Confederation,Oceania,WC-1974,1974 FIFA Men's World Cup,1974,3,0,group stage
WC-1974_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1974,1974 FIFA Men's World Cup,1974,7,6,third-place match
WC-1974_BGR,T-10,Bulgaria,BGR,Union of European Football Associations,Europe,WC-1974,1974 FIFA Men's World Cup,1974,3,2,group stage
WC-1974_CHL,T-13,Chile,CHL,South American Football Confederation,South America,WC-1974,1974 FIFA Men's World Cup,1974,3,1,group stage
WC-1974_DDR,T-24,East Germany,DDR,Union of European Football Associations,Europe,WC-1974,1974 FIFA Men's World Cup,1974,6,5,second group stage
WC-1974_HTI,T-34,Haiti,HTI,"Confederation of North, Central American and Caribbean Association Football",Caribbean,WC-1974,1974 FIFA Men's World Cup,1974,3,2,group stage
WC-1974_ITA,T-41,Italy,ITA,Union of European Football Associations,Europe,WC-1974,1974 FIFA Men's World Cup,1974,3,5,group stage
WC-1974_NLD,T-48,Netherlands,NLD,Union of European Football Associations,Europe,WC-1974,1974 FIFA Men's World Cup,1974,7,15,final
WC-1974_POL,T-57,Poland,POL,Union of European Football Associations,Europe,WC-1974,1974 FIFA Men's World Cup,1974,7,16,third-place match
WC-1974_SCO,T-64,Scotland,SCO,Union of European Football Associations,Europe,WC-1974,1974 FIFA Men's World Cup,1974,3,3,group stage
WC-1974_SWE,T-74,Sweden,SWE,Union of European Football Associations,Europe,WC-1974,1974 FIFA Men's World Cup,1974,6,7,second group stage
WC-1974_URY,T-84,Uruguay,URY,South American Football Confederation,South America,WC-1974,1974 FIFA Men's World Cup,1974,3,1,group stage
WC-1974_DEU,T-86,West Germany,DEU,Union of European Football Associations,Europe,WC-1974,1974 FIFA Men's World Cup,1974,7,13,final
WC-1974_YUG,T-87,Yugoslavia,YUG,Union of European Football Associations,Europe,WC-1974,1974 FIFA Men's World Cup,1974,6,12,second group stage
WC-1974_COD,T-88,Zaire,COD,Confederation of African Football,Africa,WC-1974,1974 FIFA Men's World Cup,1974,3,0,group stage
WC-1978_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-1978,1978 FIFA Men's World Cup,1978,7,15,final
WC-1978_AUT,T-05,Austria,AUT,Union of European Football Associations,Europe,WC-1978,1978 FIFA Men's World Cup,1978,6,7,second group stage
WC-1978_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1978,1978 FIFA Men's World Cup,1978,7,10,third-place match
WC-1978_FRA,T-30,France,FRA,Union of European Football Associations,Europe,WC-1978,1978 FIFA Men's World Cup,1978,3,5,group stage
WC-1978_HUN,T-36,Hungary,HUN,Union of European Football Associations,Europe,WC-1978,1978 FIFA Men's World Cup,1978,3,3,group stage
WC-1978_IRN,T-38,Iran,IRN,Asian Football Confederation,Middle East,WC-1978,1978 FIFA Men's World Cup,1978,3,2,group stage
WC-1978_ITA,T-41,Italy,ITA,Union of European Football Associations,Europe,WC-1978,1978 FIFA Men's World Cup,1978,7,9,third-place match
WC-1978_MEX,T-46,Mexico,MEX,"Confederation of North, Central American and Caribbean Association Football",North America,WC-1978,1978 FIFA Men's World Cup,1978,3,2,group stage
WC-1978_NLD,T-48,Netherlands,NLD,Union of European Football Associations,Europe,WC-1978,1978 FIFA Men's World Cup,1978,7,15,final
WC-1978_PER,T-56,Peru,PER,South American Football Confederation,South America,WC-1978,1978 FIFA Men's World Cup,1978,6,7,second group stage
WC-1978_POL,T-57,Poland,POL,Union of European Football Associations,Europe,WC-1978,1978 FIFA Men's World Cup,1978,6,6,second group stage
WC-1978_SCO,T-64,Scotland,SCO,Union of European Football Associations,Europe,WC-1978,1978 FIFA Men's World Cup,1978,3,5,group stage
WC-1978_ESP,T-73,Spain,ESP,Union of European Football Associations,Europe,WC-1978,1978 FIFA Men's World Cup,1978,3,2,group stage
WC-1978_SWE,T-74,Sweden,SWE,Union of European Football Associations,Europe,WC-1978,1978 FIFA Men's World Cup,1978,3,1,group stage
WC-1978_TUN,T-79,Tunisia,TUN,Confederation of African Football,Africa,WC-1978,1978 FIFA Men's World Cup,1978,3,3,group stage
WC-1978_DEU,T-86,West Germany,DEU,Union of European Football Associations,Europe,WC-1978,1978 FIFA Men's World Cup,1978,6,10,second group stage
WC-1982_DZA,T-01,Algeria,DZA,Confederation of African Football,Africa,WC-1982,1982 FIFA Men's World Cup,1982,3,5,group stage
WC-1982_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-1982,1982 FIFA Men's World Cup,1982,5,8,second group stage
WC-1982_AUT,T-05,Austria,AUT,Union of European Football Associations,Europe,WC-1982,1982 FIFA Men's World Cup,1982,5,5,second group stage
WC-1982_BEL,T-06,Belgium,BEL,Union of European Football Associations,Europe,WC-1982,1982 FIFA Men's World Cup,1982,5,3,second group stage
WC-1982_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1982,1982 FIFA Men's World Cup,1982,5,15,second group stage
WC-1982_CMR,T-11,Cameroon,CMR,Confederation of African Football,Africa,WC-1982,1982 FIFA Men's World Cup,1982,3,1,group stage
WC-1982_CHL,T-13,Chile,CHL,South American Football Confederation,South America,WC-1982,1982 FIFA Men's World Cup,1982,3,3,group stage
WC-1982_CSK,T-21,Czechoslovakia,CSK,Union of European Football Associations,Europe,WC-1982,1982 FIFA Men's World Cup,1982,3,2,group stage
WC-1982_SLV,T-27,El Salvador,SLV,"Confederation of North, Central American and Caribbean Association Football",Central America,WC-1982,1982 FIFA Men's World Cup,1982,3,1,group stage
WC-1982_ENG,T-28,England,ENG,Union of European Football Associations,Europe,WC-1982,1982 FIFA Men's World Cup,1982,5,6,second group stage
WC-1982_FRA,T-30,France,FRA,Union of European Football Associations,Europe,WC-1982,1982 FIFA Men's World Cup,1982,7,16,third-place match
WC-1982_HND,T-35,Honduras,HND,"Confederation of North, Central American and Caribbean Association Football",Central America,WC-1982,1982 FIFA Men's World Cup,1982,3,2,group stage
WC-1982_HUN,T-36,Hungary,HUN,Union of European Football Associations,Europe,WC-1982,1982 FIFA Men's World Cup,1982,3,12,group stage
WC-1982_ITA,T-41,Italy,ITA,Union of European Football Associations,Europe,WC-1982,1982 FIFA Men's World Cup,1982,7,12,final
WC-1982_KWT,T-45,Kuwait,KWT,Asian Football Confederation,Middle East,WC-1982,1982 FIFA Men's World Cup,1982,3,2,group stage
WC-1982_NZL,T-49,New Zealand,NZL,Oceania Football Confederation,Oceania,WC-1982,1982 FIFA Men's World Cup,1982,3,2,group stage
WC-1982_NIR,T-52,Northern Ireland,NIR,Union of European Football Associations,Europe,WC-1982,1982 FIFA Men's World Cup,1982,5,5,second group stage
WC-1982_PER,T-56,Peru,PER,South American Football Confederation,South America,WC-1982,1982 FIFA Men's World Cup,1982,3,2,group stage
WC-1982_POL,T-57,Poland,POL,Union of European Football Associations,Europe,WC-1982,1982 FIFA Men's World Cup,1982,7,11,third-place match
WC-1982_SCO,T-64,Scotland,SCO,Union of European Football Associations,Europe,WC-1982,1982 FIFA Men's World Cup,1982,3,8,group stage
WC-1982_SUN,T-72,Soviet Union,SUN,Union of European Football Associations,"Europe, Asia",WC-1982,1982 FIFA Men's World Cup,1982,5,7,second group stage
WC-1982_ESP,T-73,Spain,ESP,Union of European Football Associations,Europe,WC-1982,1982 FIFA Men's World Cup,1982,5,4,second group stage
WC-1982_DEU,T-86,West Germany,DEU,Union of European Football Associations,Europe,WC-1982,1982 FIFA Men's World Cup,1982,7,12,final
WC-1982_YUG,T-87,Yugoslavia,YUG,Union of European Football Associations,Europe,WC-1982,1982 FIFA Men's World Cup,1982,3,2,group stage
WC-1986_DZA,T-01,Algeria,DZA,Confederation of African Football,Africa,WC-1986,1986 FIFA Men's World Cup,1986,3,1,group stage
WC-1986_ARG,T-03,Argentina,ARG,South American Football Confederation,South America,WC-1986,1986 FIFA Men's World Cup,1986,7,14,final
WC-1986_BEL,T-06,Belgium,BEL,Union of European Football Associations,Europe,WC-1986,1986 FIFA Men's World Cup,1986,7,12,third-place match
WC-1986_BRA,T-09,Brazil,BRA,South American Football Confederation,South America,WC-1986,1986 FIFA Men's World Cup,1986,5,10,quarter-finals
WC-1986_BGR,T-10,Bulgaria,BGR,Union of European Football Associations,Europe,WC-1986,1986 FIFA Men's World Cup,1986,4,2,round of 16
